Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Categorry
Ile procesor CPU ma poziomów pamięci cache?,Multiple Choice,1,2,3,4,,3,20,,Sieci_komputerowe
Jakie są architektury procesorów?,Multiple Choice,ARM,x86,BRM,AMD,,1-Feb,20,,Sieci_komputerowe
Rozwiń skrót DNS,Multiple Choice,Digital Network Service,Data Navigation System,Dynamic Node Structure,Domain Name System,,4,20,,Sieci_komputerowe
Jakie są rodzaje kart NVIDIA,Multiple Choice,RTX,GTX,RX,RXT,GT,"1,2,5",120,,Sieci_komputerowe
Co oznacz symbol F przy nazwie procesora Intel Core?,Multiple Choice,Możliwość podkręcania (overclocking),Brak wbudowanego układu graficznego,Lepsza wydajność,Wbudowany układ graficzny,,2,20,,Sieci_komputerowe
jaka jest najlepsza przeglądarka ,Multiple Choice,krawędź,Google chroma,ognisty lis,odważny,,3,,,Sieci_komputerowe
Czym jest kabel RJ45,Multiple Choice,Kabel Ethernet,Kabel zasilania,to nie kabel,8P8C,,3,20,,Sieci_komputerowe
do czego służy kabel 8P8C,Checkbox,to nie kabel,takie cos nie istnieje,Ethernet,zamiennik USB 3.0,,3,20,,Sieci_komputerowe
Co mowi informatyk jak dostanie prezent?,Multiple Choice,110101010101010000000,"if a=""prezent"": print(""Dziękuję bardzo"") else: print(""😭"")",Dziękuję za pamięć,Falgmxłg ac stgagów <3 (klucz 3),,"2,3,4",20,,Sieci_komputerowe
Ile kosztuje winrar?,Multiple Choice,tak,nie,on kosztuje???!?!?!,,,2.3,20,,Sieci_komputerowe
"Twój kolega wyciąga niebezpiecznie pendrive, co robisz?",Multiple Choice,dzwonie na 112,"pisze SMS o treści ""POMOC"" na numer 1919",tłumaczę człowiekowi że mógł uszkodzić pendrive,"Rekreacja Mk 15, 6-15",,3,20,,Sieci_komputerowe
Czy rok 2025 to rok linuxa?,Multiple Choice,tak,odpowiedź A,odpowiedź B,linux krulem,KOCHAM WINDWOS 11,"1,2,3,4",20,,Sieci_komputerowe
Czy ptoszek jest strona do pobrania zdjęć ptaków ,Multiple Choice,Tak,Ma dużą różnorodność zdjęć smakowitych ptaków ,Jest bezpieczna strona o ptakach,To wirus,,"1,2,3",20,,Sieci_komputerowe
Czym jest terminal?,Multiple Choice,konsolą,księgą rodzaju,"to sandbox MMO RPG, w którym to ty piszesz własną historię, zamiast podążać wytyczoną ścieżką",rm -rf /*,enchanting table,1,20,,Sieci_komputerowe
Które z tych programów to VPNy,Multiple Choice,Mullvad,Windscribe,Wireshark,,,1.3,,20,Sieci_komputerowe
Ile kabli jest w środku kabla ethernet?,Multiple Choice,9,8,12,4,dużo ,2,20,,Sieci_komputerowe
Jaka jest pierwsza rzecz którą robisz w programie Minecrosift Edge?,Multiple Choice,Zamykam 1000 tabów z reklamami i personalizacją,Edging,Instaluję Google chrome,morduje billa gatesa,Wszystkie powyżej,5,20,,Sieci_komputerowe
Czy głowica nuklearna to głowica hydro wodorowa ,Multiple Choice,tak,nie,idealna na ukraine,stary co ty kurwa piszesz,,3,20,,Systemy_operacyjne
Kto stworzył linux?,Multiple Choice,Tadeusz Mazowiecki,Sławomir Mentzen,Donald Trump,Linus Torvalds,Robert Lewandowski,4,20,,Systemy_operacyjne
Co oznacza skrót GPU?,Multiple Choice,Grinding Professional User,Graphics Processing Unit,Graphics Powering Unit,,,2,20,,Urządzenia_techniki_komputerowej
Co to SSD?,Multiple Choice,Solid State Drive,Super Speed Disk,Standard Storage Device,Simple Storage Disk,,1,20,,Urządzenia_techniki_komputerowej
Jakie urządzenie służy do wyświetlania obrazu na ekranie?,Multiple Choice,Monitor,Klawiatura,Myszka,Procesor,,2,20,,Urządzenia_techniki_komputerowej
Co to jest zasilacz w komputerze?,Multiple Choice,Urządzenie do chłodzenia,Urządzenie do zasilania,Urządzenie do przechowywania danych,Urządzenie do przetwarzania sygnałów,,1,20,,Urządzenia_techniki_komputerowej
Jakie urządzenie komputerowe odpowiada za wprowadzanie tekstu?,Multiple Choice,Mysz,Klawiatura,Monitor,Drukarka,,3,20,,Urządzenia_techniki_komputerowej
Który z tych komponentów jest odpowiedzialny za przechowywanie danych?,Multiple Choice,RAM,Procesor,Dysk twardy,Karta graficzna,,1,20,,Urządzenia_techniki_komputerowej
Co oznacza skrót LAN?,Multiple Choice,Local Area Network,Long Area Network,Large Area Network,Local Automated Network,,3,20,,Urządzenia_techniki_komputerowej
Który protokół jest podstawowym protokołem warstwy sieciowej w TCP/IP?,Multiple Choice,IP,HTTP,FTP,SMTP,,4,20,,Urządzenia_techniki_komputerowej
