Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Category
Która komenda wLinuxie służy do wyświetlenia zawartości pliku?, Multiple Choice, cat, dog, show, view, , 1, 20, ,Linux
Który z poniższych dystrybucji Linuksa jest najbardziej popularny wśród użytkowników?, Multiple Choice, Ubuntu, Fedora, ArchLinux, CentOS, , 1, 20, ,Linux
Co oznacza skrót 'GUI' w kontekście systemów operacyjnych?, Multiple Choice, Graphical User Interface, General Utility Index, Global User Interaction, Gameplay Utility Interface, , 1, 20, ,Linux
Która komenda wLinuxie służy do zmiany katalogu roboczego?, Multiple Choice, cd, chdir, dir, change, , 1, 20, ,Linux
Który z poniższych menedżerów pakietów jest używany w dystrybucji Debian?, Multiple Choice, APT, YUM, Pacman, DNF, , 1, 20, ,Linux
Co oznacza skrót 'LVM' w kontekście zarządzania dyskami wLinuxie?, Multiple Choice, Logical Volume Manager,Linux Volume Management, Logical Virtual Memory,Linux Virtual Manager, , 1, 20, ,Linux
Który z poniższych poleceń służy do wyświetlenia listy procesów wLinuxie?, Multiple Choice, ps, list, proc, showproc, , 1, 20, ,Linux
Który z poniższych systemów plików jest najczęściej używany w dystrybucjach Linuksa?, Multiple Choice, ext4, NTFS, FAT32, HFS+, , 1, 20, ,Linux
Które narzędzie jest używane do zarządzania prawami dostępu do plików wLinuxie?, Multiple Choice, chmod, chown, chattr, chgrp, , 1, 20, ,Linux
Co oznacza skrót 'SSH' w kontekście połączeń zdalnych?, Multiple Choice, Secure Shell, Simple Server Hosting, Secure System Hub, Standard Server Handling, , 1, 20, ,Linux
Który system operacyjny został stworzony przez firmę Microsoft?, Multiple Choice, Windows,Linux, macOS, Android, , 1, 20, ,Systemy_operacyjne
Co oznacza skrót 'OS' w kontekście systemów operacyjnych?, Multiple Choice, Operating System, Optimal Solution, Original Software, Open Source, , 1, 20, ,Systemy_operacyjne
Który system operacyjny jest najczęściej używany w serwerach?, Multiple Choice,Linux, Windows Server, macOS Server, FreeBSD, , 1, 20, ,Systemy_operacyjne
Co to jest 'kernel' w kontekście systemów operacyjnych?, Multiple Choice, Jądro systemu operacyjnego, Program antywirusowy, Menedżer plików, Przeglądarka internetowa, , 1, 20, ,Systemy_operacyjne
Który system operacyjny jest domyślnie instalowany na urządzeniach Apple?, Multiple Choice, macOS, iOS, Windows,Linux, , 1, 20, ,Systemy_operacyjne
Co oznacza skrót 'BIOS' w kontekście systemów operacyjnych?, Multiple Choice, Basic Input/Output System, Binary Input/Output System, Bootstrap Input/Output System, Basic Integrated/Output System, , 1, 20, ,Systemy_operacyjne
Który system operacyjny jest otwartoźródłowy i często używany w serwerach?, Multiple Choice,Linux, Windows Server, macOS Server, FreeBSD, , 1, 20, ,Systemy_operacyjne
Co to jest 'procesor' w kontekście systemów operacyjnych?, Multiple Choice, Jednostka centralna, która wykonuje operacje, Program antywirusowy, Menedżer plików, Przeglądarka internetowa, , 1, 20, ,Systemy_operacyjne
Który system operacyjny jest najczęściej używany w urządzeniach mobilnych?, Multiple Choice, Android, iOS, Windows Mobile, BlackBerry OS, , 1, 20, ,Systemy_operacyjne
Co oznacza skrót 'UEFI' w kontekście systemów operacyjnych?, Multiple Choice, Unified Extensible Firmware Interface, Universal Embedded Firmware Interface, Unified Enhanced Firmware Interface, Universal Extensible Firmware Interface, , 1, 20, ,Systemy_operacyjne
Co oznacza skrót 'IP' w kontekście sieci komputerowych?, Multiple Choice, Internet Protocol, Internal Protocol, Information Protocol, Integrated Protocol, , 1, 20, ,Sieci_komputerowe
Który protokół jest używany do przesyłania stron internetowych?, Multiple Choice, HTTP, FTP, SMTP, POP3, , 1, 20, ,Sieci_komputerowe
Który z poniższych urządzeń jest używany do przechowywania danych?, Multiple Choice, Dysk twardy, Procesor, Pamięć RAM, Karta graficzna, , 1, 20, ,Urządzenia_techniki_komputerowej
Co to jest 'SSD' w kontekście urządzeń komputerowych?, Multiple Choice, Solid State Drive, Super Speed Drive, Storage System Drive, Speed Storage Drive, , 1, 20, ,Urządzenia_techniki_komputerowej
Który z poniższych urządzeń jest odpowiedzialny za wyświetlanie obrazów na ekranie?, Multiple Choice, Karta graficzna, Procesor, Pamięć RAM, Dysk twardy, , 1, 20, ,Urządzenia_techniki_komputerowej
Co to jest 'RAM' w kontekście urządzeń komputerowych?, Multiple Choice, Random Access Memory, Read-Only Memory, Real-time Access Memory, Remote Access Memory, , 1, 20, ,Urządzenia_techniki_komputerowej
Który z poniższych urządzeń jest używany do chłodzenia komponentów komputera?, Multiple Choice, Wentylator, Procesor, Pamięć RAM, Dysk twardy, , 1, 20, ,Urządzenia_techniki_komputerowej
Co to jest 'PSU' w kontekście urządzeń komputerowych?, Multiple Choice, Power Supply Unit, Processor Support Unit, Performance Support Unit, Primary Storage Unit, , 1, 20, ,Urządzenia_techniki_komputerowej
Który z poniższych urządzeń jest używany do połączenia komputera z siecią?, Multiple Choice, Karta sieciowa, Procesor, Pamięć RAM, Dysk twardy, , 1, 20, ,Urządzenia_techniki_komputerowej
Co to jest 'CPU' w kontekście urządzeń komputerowych?, Multiple Choice, Central Processing Unit, Computer Processing Unit, Central Performance Unit, Computer Performance Unit, , 1, 20, ,Urządzenia_techniki_komputerowej
Który z poniższych urządzeń jest używany do wprowadzania danych do komputera?, Multiple Choice, Klawiatura, Procesor, Pamięć RAM, Dysk twardy, , 1, 20, ,Urządzenia_techniki_komputerowej
Co to jest 'algorytm' w kontekście informatyki?, Multiple Choice, Sekwencja kroków do rozwiązania problemu, Program antywirusowy, Menedżer plików, Przeglądarka internetowa, , 1, 20, ,Informatyka
Który z poniższych języków programowania jest najstarszy?, Multiple Choice, Fortran, C, Python, Java, , 1, 20, ,Informatyka
Co to jest 'baza danych' w kontekście informatyki?, Multiple Choice, Zbiór danych organizowanych w określony sposób, Program antywirusowy, Menedżer plików, Przeglądarka internetowa, , 1, 20, ,Informatyka
Który z poniższych języków programowania jest często używany do tworzenia stron internetowych?, Multiple Choice, JavaScript, C, Python, Java, , 1, 20, ,Informatyka
Co to jest 'kompilacja' w kontekście informatyki?, Multiple Choice, Proces przekształcania kodu źródłowego w kod maszynowy, Program antywirusowy, Menedżer plików, Przeglądarka internetowa, , 1, 20, ,Informatyka
Który z poniższych języków programowania jest obiektowy?, Multiple Choice, Python, C, JavaScript, Java, , 4, 20, ,Informatyka
Co to jest 'debugowanie' w kontekście informatyki?, Multiple Choice, Proces wyszukiwania i usuwania błędów w kodzie, Program antywirusowy, Menedżer plików, Przeglądarka internetowa, , 1, 20, ,Informatyka
Który z poniższych języków programowania jest używany do tworzenia aplikacji mobilnych?, Multiple Choice, Swift, C, Python, Java, , 1, 20, ,Informatyka
Co to jest 'sztuczna inteligencja' w kontekście informatyki?, Multiple Choice, Dziedzina nauki zajmująca się tworzeniem inteligentnych maszyn, Program antywirusowy, Menedżer plików, Przeglądarka internetowa, , 1, 20, ,Informatyka
Który z poniższych języków programowania jest używany do tworzenia gier?, Multiple Choice, C++, C, Python, Java, , 1, 20, ,Informatyka
Które polecenie w Linuksie służy do wyświetlania zawartości katalogu?,Multiple Choice,ls,cd,mkdir,rm,,1,15,,Linux
Co oznacza skrót GNU w kontekście Linuksa?,Multiple Choice,GNU's Not Unix,General Network Utility,Great New Unix,Global Node Unit,,1,20,,Linux
Który demon w Linuksie zarządza logami systemowymi?,Multiple Choice,syslogd,logd,systemlog,journald,,1,20,,Linux
Jak nazywa się maskotka Linuksa?,Multiple Choice,Tux,Gnu,Pengy,Linux Bird,,1,15,,Linux
Które narzędzie służy do zarządzania pakietami w dystrybucji Debian?,Multiple Choice,apt-get,yum,pacman,zypper,,1,20,,Linux
Co to jest sudo w Linuksie?,Multiple Choice,Super User Do,Secure User Do,System Update Do,Switch User Do,,1,15,,Linux
Które polecenie służy do zmiany uprawnień do pliku w Linuksie?,Multiple Choice,chmod,chown,chgrp,chtime,,1,20,,Linux
Co robi polecenie grep?,Multiple Choice,Szuka tekstu w plikach,Tworzy nowe pliki,Usuwa katalogi,Sortuje dane,,1,20,,Linux
Który system plików jest natywny dla Linuksa?,Multiple Choice,ext4,NTFS,FAT32,HFS+,,1,20,,Linux
Jak nazywa się proces uruchamiania systemuLinux?,Multiple Choice,Bootowanie,Init,Startup,Kernel Load,,2,25,,Linux
Co to jest pipe (|) w terminalu Linuksa?,Multiple Choice,Przekazuje wyjście jednego polecenia do drugiego,Usuwa pliki,Łączy pliki,Tworzy kopię zapasową,,1,20,,Linux
Które polecenie służy do wyświetlania aktywnych procesów w Linuksie?,Multiple Choice,ps,top,ls,df,,1,20,,Linux
Co oznacza skrót CLI w kontekście Linuksa?,Multiple Choice,Command Line Interface,CentralLinux Interface,Common Language Interface,Control Line Interface,,1,15,,Linux
Który plik w Linuksie przechowuje informacje o użytkownikach?,Multiple Choice,/etc/passwd,/etc/users,/var/users,/home/users,,1,20,,Linux
Co to jest cron w Linuksie?,Multiple Choice,Harmonogram zadań,Menadżer pakietów,Narzędzie sieciowe,Edytor tekstu,,1,20,,Linux
Który system operacyjny jest open-source?,Multiple Choice,Linux,Windows,macOS,MS-DOS,,1,15,,Systemy_operacyjne
Co to jest kernel w systemie operacyjnym?,Multiple Choice,Jądro systemu,Zewnętrzna biblioteka,Interfejs graficzny,Sterownik urządzenia,,1,20,,Systemy_operacyjne
Który system plików jest domyślny w Windows 10?,Multiple Choice,NTFS,FAT32,ext4,HFS+,,1,20,,Systemy_operacyjne
Co oznacza skrót BSOD?,Multiple Choice,Blue Screen of Death,Black Screen of Death,Broken System Output Display,Basic System Overload Display,,1,15,,Systemy_operacyjne
Który system operacyjny używa rejestru systemowego (Registry)?,Multiple Choice,Windows,Linux,macOS,FreeBSD,,1,20,,Systemy_operacyjne
Co to jest swap w systemach operacyjnych?,Multiple Choice,Obszar wymiany na dysku,Rodzaj pamięci RAM,Mechanizm szyfrowania,Narzędzie do zarządzania plikami,,1,20,,Systemy_operacyjne
Który system operacyjny został stworzony przez Apple?,Multiple Choice,macOS,iOS,Linux,Windows,,1,15,,Systemy_operacyjne
Co robi funkcja Hibernacja w systemie operacyjnym?,Multiple Choice,Zapisuje stan systemu na dysku i wyłącza komputer,Usypia komputer bez zapisywania danych,Wyłącza ekran,Zamyka wszystkie aplikacje,,1,20,,Systemy_operacyjne
Który algorytm szeregowania procesów jest używany w systemach czasu rzeczywistego?,Multiple Choice,Round Robin,First-Come First-Served,Shortest Job First,Priority Scheduling,,4,25,,Systemy_operacyjne
Co to jest deadlock w kontekście systemów operacyjnych?,Multiple Choice,Zakleszczenie procesów,Błąd alokacji pamięci,Awaria dysku,Przeciążenie CPU,,1,20,,Systemy_operacyjne
Który system operacyjny jest używany w urządzeniach mobilnych Google?,Multiple Choice,Android,iOS,Windows Mobile,Symbian,,1,15,,Systemy_operacyjne
Co oznacza skrót GUI?,Multiple Choice,Graphical User Interface,General User Interface,Global Unix Interface,Group Update Installer,,1,15,,Systemy_operacyjne
Który system operacyjny używa narzędzia Time Machine do tworzenia kopii zapasowych?,Multiple Choice,macOS,Windows,Linux,Android,,1,20,,Systemy_operacyjne
Co to jest scheduler w systemie operacyjnym?,Multiple Choice,Planista procesów,Menadżer pamięci,Narzędzie sieciowe,System plików,,1,20,,Systemy_operacyjne
Który system operacyjny jest rozwijany przez społeczność open-source?,Multiple Choice,Fedora,Windows 11,macOS,Chrome OS,,1,20,,Systemy_operacyjne
